response_id,persona_type,role,company_size,industry,presets_created,workflow_time_minutes,main_frustration,magic_wand_fix,manual_pain_score,pain_level_category,ai_trust_level,trust_level_category,auto_highlight_reaction,error_tolerance,paste_frequency,feature_auto_detect,feature_live_preview,feature_templates,time_savings_30,time_savings_50,time_savings_70
30,power_user,Art Director,Large (50+),Film/TV,14,21,Difficult to identify variable parts,Template library,8,High,0.8,High,Very excited,29,monthly,4,5,3,True,True,False
31,power_user,Concept Artist,Small (2-10),Film/TV,12,39,Difficult to identify variable parts,Faster node connections,9,Very High,0.7,High,Somewhat interested,28,monthly,5,5,4,True,True,False
32,power_user,Art Director,Freelance,Publishing,20,32,Too many clicks required,Faster node connections,9,Very High,0.7,High,Cautiously optimistic,33,rarely,5,4,5,True,True,True
33,power_user,Art Director,Medium (11-50),Other,19,45,Hard to visualize final result,One-click preset creation,6,Medium,0.8,High,Cautiously optimistic,22,monthly,4,5,3,True,True,True
34,power_user,Graphic Designer,Freelance,Gaming,16,28,Difficult to identify variable parts,Faster node connections,8,High,0.7,High,Not interested,35,monthly,5,5,5,True,False,True
35,power_user,Graphic Designer,Large (50+),Other,19,44,Hard to visualize final result,Template library,7,High,0.7,High,Skeptical but willing to try,35,rarely,5,5,5,True,True,False
36,power_user,Graphic Designer,Large (50+),Publishing,12,27,Hard to visualize final result,Better visual preview,8,High,0.7,High,Skeptical but willing to try,20,daily,5,4,5,True,False,True
37,power_user,Illustrator,Large (50+),Publishing,13,17,Connecting variables is tedious,Template library,8,High,0.8,High,Not interested,22,daily,4,4,5,False,False,False
38,power_user,Graphic Designer,Large (50+),Publishing,15,29,Difficult to identify variable parts,Template library,7,High,0.6,Medium,Very excited,33,weekly,5,5,5,False,False,False
39,power_user,Concept Artist,Large (50+),Film/TV,17,22,Too many clicks required,One-click preset creation,9,Very High,0.6,Medium,Very excited,35,rarely,5,5,3,False,True,False
40,power_user,Graphic Designer,Small (2-10),Film/TV,14,29,Manual node creation takes too long,Better visual preview,9,Very High,0.8,High,Not interested,40,monthly,4,5,5,True,False,True
41,power_user,VFX Artist,Large (50+),Other,18,13,Difficult to identify variable parts,Better visual preview,7,High,0.6,Medium,Very excited,21,daily,5,5,3,True,False,True
42,power_user,Graphic Designer,Small (2-10),Publishing,15,29,Connecting variables is tedious,Better visual preview,9,Very High,0.7,High,Cautiously optimistic,34,rarely,5,5,4,False,False,False
43,power_user,VFX Artist,Medium (11-50),Gaming,19,17,Difficult to identify variable parts,Better visual preview,8,High,0.7,High,Cautiously optimistic,32,monthly,5,5,4,False,True,True
44,power_user,Illustrator,Medium (11-50),Advertising,13,19,Difficult to identify variable parts,Template library,6,Medium,0.7,High,Somewhat interested,29,monthly,5,4,3,False,False,False
45,power_user,Illustrator,Freelance,Other,13,27,Connecting variables is tedious,Faster node connections,7,High,0.8,High,Very excited,20,monthly,5,5,5,False,False,True
46,power_user,VFX Artist,Small (2-10),Publishing,20,27,Manual node creation takes too long,Better visual preview,9,Very High,0.8,High,Very excited,21,rarely,4,4,3,True,True,False
47,power_user,Art Director,Freelance,Film/TV,13,38,Hard to visualize final result,Better visual preview,6,Medium,0.8,High,Skeptical but willing to try,27,weekly,5,5,3,False,True,True
48,power_user,Art Director,Freelance,Advertising,17,19,Too many clicks required,Auto-detect variable parts,7,High,0.8,High,Not interested,27,weekly,5,5,3,True,False,True
49,power_user,VFX Artist,Medium (11-50),Publishing,15,40,Manual node creation takes too long,Better visual preview,7,High,0.8,High,Somewhat interested,36,daily,4,5,4,True,True,True
50,power_user,Illustrator,Large (50+),Film/TV,12,25,Difficult to identify variable parts,Auto-detect variable parts,9,Very High,0.7,High,Skeptical but willing to try,22,rarely,5,4,4,True,False,False
51,power_user,Concept Artist,Freelance,Publishing,13,36,Difficult to identify variable parts,One-click preset creation,9,Very High,0.8,High,Cautiously optimistic,32,rarely,5,5,4,False,False,True
52,power_user,Concept Artist,Medium (11-50),Other,13,24,Too many clicks required,Template library,6,Medium,0.8,High,Very excited,31,monthly,5,5,4,True,True,True
53,power_user,Concept Artist,Freelance,Other,17,18,Too many clicks required,Faster node connections,7,High,0.6,Medium,Not interested,20,daily,4,5,4,False,True,True
54,power_user,Illustrator,Large (50+),Publishing,15,38,Difficult to identify variable parts,One-click preset creation,8,High,0.6,Medium,Cautiously optimistic,38,monthly,4,4,5,True,True,False
55,power_user,Graphic Designer,Medium (11-50),Advertising,16,18,Hard to visualize final result,Auto-detect variable parts,9,Very High,0.8,High,Not interested,36,monthly,5,5,5,True,True,True
56,power_user,Illustrator,Medium (11-50),Film/TV,13,25,Difficult to identify variable parts,One-click preset creation,7,High,0.8,High,Not interested,36,rarely,5,4,4,False,True,False
57,power_user,VFX Artist,Freelance,Other,18,20,Connecting variables is tedious,Faster node connections,8,High,0.8,High,Very excited,23,monthly,4,4,4,True,False,True
58,power_user,Art Director,Large (50+),Film/TV,20,26,Hard to visualize final result,One-click preset creation,7,High,0.6,Medium,Somewhat interested,26,daily,4,4,5,False,False,False
59,power_user,Illustrator,Freelance,Publishing,19,34,Hard to visualize final result,Auto-detect variable parts,8,High,0.7,High,Not interested,29,monthly,5,4,4,True,True,False
60,power_user,Illustrator,Medium (11-50),Other,15,35,Too many clicks required,Auto-detect variable parts,7,High,0.6,Medium,Very excited,22,rarely,4,5,4,True,True,False
61,regular_user,Graphic Designer,Large (50+),Advertising,5,42,Hard to visualize final result,Template library,7,High,0.7,High,Cautiously optimistic,39,rarely,3,4,4,True,False,True
62,regular_user,VFX Artist,Freelance,Advertising,7,62,Difficult to identify variable parts,Better visual preview,7,High,0.7,High,Cautiously optimistic,25,daily,3,4,3,True,True,True
63,regular_user,Art Director,Medium (11-50),Other,7,72,Connecting variables is tedious,One-click preset creation,8,High,0.5,Medium,Skeptical but willing to try,33,weekly,4,5,5,False,True,False
64,regular_user,Graphic Designer,Large (50+),Other,12,59,Difficult to identify variable parts,Template library,7,High,0.6,Medium,Somewhat interested,39,rarely,3,5,4,True,True,True
65,regular_user,Graphic Designer,Small (2-10),Gaming,7,52,Connecting variables is tedious,Better visual preview,8,High,0.5,Medium,Skeptical but willing to try,32,daily,5,5,3,True,True,True
66,regular_user,Illustrator,Large (50+),Film/TV,5,55,Connecting variables is tedious,Faster node connections,8,High,0.5,Medium,Very excited,28,daily,3,5,3,True,True,True
67,regular_user,VFX Artist,Freelance,Publishing,6,50,Too many clicks required,One-click preset creation,7,High,0.5,Medium,Cautiously optimistic,20,weekly,5,5,3,False,True,True
68,regular_user,Illustrator,Small (2-10),Gaming,12,32,Hard to visualize final result,Auto-detect variable parts,9,Very High,0.7,High,Very excited,27,monthly,5,5,3,True,True,False
69,regular_user,Graphic Designer,Medium (11-50),Film/TV,6,51,Hard to visualize final result,Auto-detect variable parts,8,High,0.7,High,Very excited,29,weekly,5,5,4,False,True,True
70,regular_user,Graphic Designer,Medium (11-50),Publishing,10,62,Difficult to identify variable parts,Better visual preview,8,High,0.5,Medium,Skeptical but willing to try,31,weekly,5,5,3,False,True,False
71,regular_user,Concept Artist,Small (2-10),Film/TV,11,44,Hard to visualize final result,Auto-detect variable parts,8,High,0.5,Medium,Not interested,28,monthly,5,5,4,True,True,False
72,regular_user,Art Director,Large (50+),Other,8,51,Difficult to identify variable parts,Auto-detect variable parts,7,High,0.7,High,Skeptical but willing to try,31,weekly,4,4,5,True,False,True
73,regular_user,Graphic Designer,Freelance,Other,11,63,Hard to visualize final result,Faster node connections,9,Very High,0.7,High,Not interested,35,weekly,3,4,4,True,True,False
74,regular_user,Concept Artist,Medium (11-50),Publishing,13,49,Connecting variables is tedious,Better visual preview,8,High,0.6,Medium,Very excited,24,weekly,3,5,5,True,False,True
75,regular_user,Graphic Designer,Small (2-10),Advertising,12,73,Difficult to identify variable parts,Auto-detect variable parts,7,High,0.5,Medium,Cautiously optimistic,34,weekly,4,4,3,True,True,True
76,regular_user,VFX Artist,Freelance,Film/TV,13,42,Hard to visualize final result,Template library,8,High,0.7,High,Somewhat interested,39,monthly,5,4,5,True,True,False
77,regular_user,Illustrator,Large (50+),Publishing,6,28,Connecting variables is tedious,Faster node connections,7,High,0.6,Medium,Skeptical but willing to try,29,daily,5,4,5,True,False,True
78,regular_user,Graphic Designer,Large (50+),Other,12,40,Too many clicks required,Better visual preview,8,High,0.5,Medium,Cautiously optimistic,24,monthly,4,4,4,True,True,True
79,regular_user,Art Director,Medium (11-50),Film/TV,11,35,Hard to visualize final result,Better visual preview,7,High,0.5,Medium,Somewhat interested,36,weekly,4,5,3,True,True,True
80,regular_user,VFX Artist,Large (50+),Other,5,55,Too many clicks required,Better visual preview,8,High,0.5,Medium,Very excited,24,daily,4,5,3,True,True,False
81,regular_user,VFX Artist,Large (50+),Gaming,9,63,Connecting variables is tedious,Faster node connections,7,High,0.6,Medium,Cautiously optimistic,31,monthly,3,5,5,True,True,False
82,regular_user,VFX Artist,Medium (11-50),Film/TV,13,40,Too many clicks required,One-click preset creation,9,Very High,0.7,High,Not interested,38,rarely,4,5,4,True,False,False
83,regular_user,Illustrator,Large (50+),Film/TV,12,47,Manual node creation takes too long,Faster node connections,7,High,0.6,Medium,Not interested,32,weekly,3,4,3,True,True,True
84,regular_user,VFX Artist,Medium (11-50),Gaming,7,66,Too many clicks required,Faster node connections,9,Very High,0.6,Medium,Cautiously optimistic,34,rarely,5,5,5,True,False,False
85,regular_user,Graphic Designer,Large (50+),Gaming,9,46,Difficult to identify variable parts,Faster node connections,9,Very High,0.7,High,Not interested,29,monthly,3,5,3,True,False,False
86,regular_user,Concept Artist,Small (2-10),Publishing,8,68,Too many clicks required,One-click preset creation,9,Very High,0.6,Medium,Not interested,27,daily,3,4,5,False,True,True
87,regular_user,Graphic Designer,Freelance,Film/TV,12,56,Hard to visualize final result,Better visual preview,9,Very High,0.6,Medium,Very excited,27,daily,5,5,3,False,True,True
88,regular_user,VFX Artist,Small (2-10),Gaming,9,63,Hard to visualize final result,Faster node connections,9,Very High,0.6,Medium,Somewhat interested,34,rarely,4,5,3,True,False,False
89,regular_user,Graphic Designer,Medium (11-50),Gaming,11,60,Manual node creation takes too long,Auto-detect variable parts,8,High,0.5,Medium,Somewhat interested,30,weekly,3,5,3,False,False,True
90,regular_user,VFX Artist,Small (2-10),Gaming,5,34,Hard to visualize final result,Faster node connections,8,High,0.7,High,Very excited,31,monthly,5,4,4,False,True,False
91,regular_user,VFX Artist,Large (50+),Film/TV,6,74,Too many clicks required,Auto-detect variable parts,9,Very High,0.6,Medium,Very excited,36,daily,3,5,5,False,True,True
92,regular_user,Concept Artist,Large (50+),Film/TV,12,43,Difficult to identify variable parts,Auto-detect variable parts,7,High,0.5,Medium,Cautiously optimistic,32,rarely,4,4,5,True,True,True
93,regular_user,Concept Artist,Freelance,Advertising,9,55,Connecting variables is tedious,Better visual preview,8,High,0.5,Medium,Skeptical but willing to try,32,rarely,3,5,3,True,True,True
94,regular_user,Concept Artist,Freelance,Publishing,12,73,Too many clicks required,One-click preset creation,8,High,0.7,High,Skeptical but willing to try,24,weekly,4,4,3,True,False,True
95,regular_user,Illustrator,Medium (11-50),Advertising,5,31,Difficult to identify variable parts,One-click preset creation,8,High,0.6,Medium,Very excited,36,weekly,4,5,5,True,False,True
96,regular_user,Illustrator,Freelance,Other,5,65,Difficult to identify variable parts,Faster node connections,7,High,0.5,Medium,Cautiously optimistic,36,daily,4,4,4,True,False,True
97,regular_user,Illustrator,Small (2-10),Advertising,11,54,Difficult to identify variable parts,Better visual preview,8,High,0.5,Medium,Cautiously optimistic,34,weekly,4,4,3,True,True,True
98,regular_user,Illustrator,Freelance,Publishing,9,26,Connecting variables is tedious,Faster node connections,7,High,0.6,Medium,Not interested,32,weekly,3,5,4,True,False,False
99,regular_user,Graphic Designer,Large (50+),Publishing,10,41,Hard to visualize final result,Auto-detect variable parts,8,High,0.5,Medium,Somewhat interested,28,weekly,5,4,3,True,False,False
100,regular_user,VFX Artist,Large (50+),Advertising,12,41,Connecting variables is tedious,Template library,8,High,0.6,Medium,Somewhat interested,40,rarely,3,4,3,True,True,True
101,regular_user,VFX Artist,Small (2-10),Gaming,5,75,Difficult to identify variable parts,Auto-detect variable parts,7,High,0.5,Medium,Very excited,36,rarely,5,5,3,True,False,True
102,regular_user,Illustrator,Large (50+),Other,8,68,Hard to visualize final result,Faster node connections,9,Very High,0.5,Medium,Cautiously optimistic,34,daily,5,4,4,True,True,True
103,regular_user,VFX Artist,Freelance,Gaming,12,20,Connecting variables is tedious,Faster node connections,7,High,0.6,Medium,Cautiously optimistic,23,rarely,5,4,5,True,False,False
104,regular_user,Concept Artist,Freelance,Publishing,10,26,Too many clicks required,Faster node connections,8,High,0.6,Medium,Cautiously optimistic,38,daily,3,5,4,True,True,False
105,regular_user,VFX Artist,Medium (11-50),Gaming,8,30,Too many clicks required,Template library,7,High,0.5,Medium,Cautiously optimistic,40,rarely,4,4,4,False,False,True
106,regular_user,VFX Artist,Large (50+),Film/TV,6,28,Connecting variables is tedious,One-click preset creation,8,High,0.7,High,Cautiously optimistic,23,rarely,3,5,4,True,True,False
107,regular_user,Illustrator,Small (2-10),Film/TV,5,31,Too many clicks required,Template library,7,High,0.5,Medium,Skeptical but willing to try,29,monthly,4,4,5,True,False,False
108,regular_user,VFX Artist,Large (50+),Advertising,7,58,Difficult to identify variable parts,Faster node connections,9,Very High,0.7,High,Cautiously optimistic,27,daily,5,4,4,True,True,False
109,regular_user,Illustrator,Medium (11-50),Film/TV,12,53,Too many clicks required,Better visual preview,8,High,0.6,Medium,Not interested,35,monthly,4,5,4,True,False,False
110,regular_user,VFX Artist,Large (50+),Other,8,65,Too many clicks required,Faster node connections,7,High,0.7,High,Skeptical but willing to try,22,weekly,4,5,3,False,True,True
111,regular_user,Art Director,Small (2-10),Publishing,11,73,Too many clicks required,Better visual preview,7,High,0.6,Medium,Very excited,31,daily,3,5,4,True,False,True
112,regular_user,VFX Artist,Large (50+),Advertising,10,64,Too many clicks required,One-click preset creation,7,High,0.5,Medium,Very excited,23,monthly,4,4,5,True,True,True
113,regular_user,Art Director,Large (50+),Gaming,12,34,Difficult to identify variable parts,Auto-detect variable parts,9,Very High,0.5,Medium,Very excited,20,monthly,4,4,5,False,True,False
114,regular_user,Illustrator,Freelance,Advertising,7,62,Manual node creation takes too long,One-click preset creation,7,High,0.5,Medium,Not interested,32,rarely,3,5,5,True,True,True
115,regular_user,Concept Artist,Small (2-10),Advertising,12,70,Too many clicks required,Template library,8,High,0.5,Medium,Not interested,31,rarely,4,4,5,True,False,False
116,regular_user,Graphic Designer,Large (50+),Other,6,41,Connecting variables is tedious,Faster node connections,7,High,0.6,Medium,Not interested,38,rarely,4,5,5,False,True,True
117,regular_user,Graphic Designer,Freelance,Advertising,5,40,Difficult to identify variable parts,One-click preset creation,8,High,0.6,Medium,Not interested,40,rarely,4,5,4,True,False,True
118,regular_user,Concept Artist,Small (2-10),Advertising,8,69,Connecting variables is tedious,Template library,8,High,0.6,Medium,Not interested,23,rarely,5,5,5,False,True,False
119,regular_user,VFX Artist,Small (2-10),Advertising,5,58,Hard to visualize final result,Faster node connections,7,High,0.6,Medium,Somewhat interested,38,daily,5,5,3,True,True,False
120,regular_user,Illustrator,Large (50+),Publishing,9,48,Too many clicks required,One-click preset creation,7,High,0.7,High,Very excited,40,rarely,3,4,5,False,True,False
121,newer_user,Art Director,Large (50+),Advertising,1,52,Too many clicks required,Better visual preview,9,Very High,0.5,Medium,Skeptical but willing to try,38,rarely,3,5,5,False,False,False
122,newer_user,Graphic Designer,Small (2-10),Advertising,5,80,Too many clicks required,One-click preset creation,9,Very High,0.3,Low,Cautiously optimistic,21,rarely,3,4,3,False,True,True
123,newer_user,Concept Artist,Freelance,Advertising,1,78,Manual node creation takes too long,One-click preset creation,9,Very High,0.5,Medium,Skeptical but willing to try,27,daily,4,4,3,True,True,False
124,newer_user,VFX Artist,Freelance,Other,1,89,Difficult to identify variable parts,One-click preset creation,8,High,0.3,Low,Very excited,23,rarely,4,4,4,True,True,True
125,newer_user,Art Director,Medium (11-50),Film/TV,2,96,Connecting variables is tedious,Faster node connections,9,Very High,0.3,Low,Somewhat interested,23,rarely,3,5,4,True,False,True
126,newer_user,Graphic Designer,Small (2-10),Publishing,4,61,Difficult to identify variable parts,Auto-detect variable parts,9,Very High,0.4,Low,Skeptical but willing to try,23,weekly,3,4,5,False,True,False
127,newer_user,Art Director,Medium (11-50),Publishing,1,42,Manual node creation takes too long,One-click preset creation,9,Very High,0.4,Low,Very excited,36,daily,4,5,3,True,True,True
128,newer_user,Illustrator,Medium (11-50),Other,1,83,Connecting variables is tedious,One-click preset creation,8,High,0.3,Low,Skeptical but willing to try,34,daily,5,4,3,True,True,True
129,newer_user,Graphic Designer,Small (2-10),Advertising,8,75,Hard to visualize final result,Better visual preview,9,Very High,0.5,Medium,Very excited,33,daily,4,4,4,True,False,True
130,newer_user,Illustrator,Medium (11-50),Advertising,1,118,Connecting variables is tedious,Auto-detect variable parts,9,Very High,0.4,Low,Very excited,21,daily,4,4,3,False,True,True
131,newer_user,VFX Artist,Small (2-10),Publishing,1,126,Manual node creation takes too long,Auto-detect variable parts,9,Very High,0.3,Low,Somewhat interested,21,weekly,4,5,4,True,False,False
132,newer_user,Illustrator,Large (50+),Film/TV,5,130,Connecting variables is tedious,One-click preset creation,9,Very High,0.4,Low,Very excited,20,weekly,3,4,4,False,True,True
133,newer_user,Art Director,Medium (11-50),Advertising,2,72,Manual node creation takes too long,Template library,9,Very High,0.4,Low,Cautiously optimistic,22,rarely,5,4,5,True,True,True
134,newer_user,Illustrator,Medium (11-50),Publishing,5,95,Hard to visualize final result,Better visual preview,8,High,0.4,Low,Very excited,24,weekly,5,4,3,False,False,True
135,newer_user,Concept Artist,Large (50+),Publishing,4,42,Connecting variables is tedious,Template library,9,Very High,0.5,Medium,Somewhat interested,24,daily,3,5,5,True,True,True
136,newer_user,Concept Artist,Freelance,Gaming,8,122,Manual node creation takes too long,Auto-detect variable parts,8,High,0.3,Low,Very excited,21,weekly,3,5,4,False,True,True
137,newer_user,Graphic Designer,Large (50+),Gaming,7,57,Hard to visualize final result,Auto-detect variable parts,8,High,0.4,Low,Very excited,38,rarely,4,4,4,True,True,False
138,newer_user,Illustrator,Large (50+),Advertising,0,122,Hard to visualize final result,Faster node connections,8,High,0.3,Low,Very excited,28,rarely,4,4,5,True,True,False
139,newer_user,VFX Artist,Freelance,Gaming,8,82,Hard to visualize final result,Auto-detect variable parts,9,Very High,0.4,Low,Not interested,20,monthly,4,5,5,True,True,False
140,newer_user,Concept Artist,Small (2-10),Other,6,75,Connecting variables is tedious,Template library,9,Very High,0.3,Low,Cautiously optimistic,20,monthly,5,4,5,True,False,True
141,newer_user,Illustrator,Freelance,Advertising,3,55,Manual node creation takes too long,Template library,9,Very High,0.5,Medium,Somewhat interested,25,weekly,4,4,5,False,True,False
142,newer_user,VFX Artist,Freelance,Gaming,4,74,Connecting variables is tedious,Faster node connections,8,High,0.3,Low,Somewhat interested,39,monthly,4,4,4,True,False,False
143,newer_user,Graphic Designer,Medium (11-50),Film/TV,5,122,Too many clicks required,Faster node connections,8,High,0.3,Low,Cautiously optimistic,27,weekly,4,4,5,False,False,True
144,newer_user,Concept Artist,Medium (11-50),Film/TV,0,52,Difficult to identify variable parts,One-click preset creation,8,High,0.4,Low,Skeptical but willing to try,31,rarely,5,5,5,True,True,True
145,newer_user,Art Director,Freelance,Film/TV,5,73,Manual node creation takes too long,One-click preset creation,9,Very High,0.3,Low,Somewhat interested,37,rarely,3,5,5,True,True,False
146,newer_user,VFX Artist,Large (50+),Gaming,5,61,Difficult to identify variable parts,Template library,9,Very High,0.5,Medium,Cautiously optimistic,27,monthly,3,5,3,True,True,True
147,newer_user,Art Director,Large (50+),Film/TV,1,46,Connecting variables is tedious,Auto-detect variable parts,9,Very High,0.5,Medium,Very excited,32,rarely,4,5,3,True,False,False
148,newer_user,VFX Artist,Small (2-10),Publishing,4,99,Hard to visualize final result,Better visual preview,9,Very High,0.3,Low,Somewhat interested,22,daily,5,5,5,False,True,False
149,newer_user,VFX Artist,Medium (11-50),Advertising,4,52,Manual node creation takes too long,Template library,9,Very High,0.4,Low,Very excited,25,weekly,3,4,3,True,False,True
150,newer_user,Graphic Designer,Medium (11-50),Publishing,1,52,Too many clicks required,Template library,8,High,0.3,Low,Cautiously optimistic,34,monthly,3,5,3,True,True,True
